,id,hit,name,countries
666,14359540, vot(er|ed|ing) ,l2 voter data > individual demographics > ethnicity > ethnic description > austrian,['austria']
679,14360165, vot(er|ed|ing) ,l2 voter data > individual demographics > ethnicity > ethnic description > belgian,['belgium']
689,14360655, vot(er|ed|ing) ,l2 voter data > individual demographics > ethnicity > ethnic description > bulgarian,['bulgaria']
675,14359722, vot(er|ed|ing) ,l2 voter data > individual demographics > ethnicity > ethnic description > croatian,['croatia']
678,14359167, vot(er|ed|ing) ,l2 voter data > individual demographics > ethnicity > ethnic description > czech,['czechia']
676,14359139, vot(er|ed|ing) ,l2 voter data > individual demographics > ethnicity > ethnic description > danish,['denmark']
673,14359301, vot(er|ed|ing) ,l2 voter data > individual demographics > ethnicity > ethnic description > dutch ,['netherlands']
684,14360391, vot(er|ed|ing) ,l2 voter data > individual demographics > ethnicity > ethnic description > estonian,['estonia']
672,14359876, vot(er|ed|ing) ,l2 voter data > individual demographics > ethnicity > ethnic description > finnish,['finland']
682,14360184, vot(er|ed|ing) ,l2 voter data > individual demographics > ethnicity > ethnic description > french,['france']
690,14359848, vot(er|ed|ing) ,l2 voter data > individual demographics > ethnicity > ethnic description > german,['germany']
685,14360627, vot(er|ed|ing) ,l2 voter data > individual demographics > ethnicity > ethnic description > greek,['greece']
680,14359174, vot(er|ed|ing) ,l2 voter data > individual demographics > ethnicity > ethnic description > hungarian,['hungary']
671,14359668, vot(er|ed|ing) ,l2 voter data > individual demographics > ethnicity > ethnic description > irish,['ireland']
677,14359750, vot(er|ed|ing) ,l2 voter data > individual demographics > ethnicity > ethnic description > italian,['italy']
687,14360072, vot(er|ed|ing) ,l2 voter data > individual demographics > ethnicity > ethnic description > latvian,['latvia']
683,14359461, vot(er|ed|ing) ,l2 voter data > individual demographics > ethnicity > ethnic description > lithuanian,['lithuania']
669,14359290, vot(er|ed|ing) ,l2 voter data > individual demographics > ethnicity > ethnic description > luxembourgian,['luxembourg']
